Label,prob,chunk
Diodorus,0.002915452,DiodorusSic_Book11-1
Diodorus,0.002915452,DiodorusSic_Book11-10
Diodorus,0.002915452,DiodorusSic_Book11-11
Diodorus,0.002915452,DiodorusSic_Book11-12
Diodorus,0.002915452,DiodorusSic_Book11-13
Diodorus,0.002915452,DiodorusSic_Book11-14
Diodorus,0.002915452,DiodorusSic_Book11-15
Diodorus,0.002915452,DiodorusSic_Book11-16
Diodorus,0.002915452,DiodorusSic_Book11-17
Diodorus,0.002915452,DiodorusSic_Book11-18
Diodorus,0.002915452,DiodorusSic_Book11-19
Diodorus,0.002915452,DiodorusSic_Book11-2
Diodorus,0.002915452,DiodorusSic_Book11-20
Diodorus,0.002915452,DiodorusSic_Book11-21
Diodorus,0.002915452,DiodorusSic_Book11-22
Diodorus,0.002915452,DiodorusSic_Book11-23
Diodorus,0.002915452,DiodorusSic_Book11-24
Diodorus,0.002915452,DiodorusSic_Book11-25
Diodorus,0.002915452,DiodorusSic_Book11-26
Diodorus,0.002915452,DiodorusSic_Book11-27
Diodorus,0.002915452,DiodorusSic_Book11-28
Diodorus,0.002915452,DiodorusSic_Book11-29
Diodorus,0.002915452,DiodorusSic_Book11-3
Diodorus,0.002915452,DiodorusSic_Book11-30
Diodorus,0.002915452,DiodorusSic_Book11-31
Diodorus,0.002915452,DiodorusSic_Book11-32
Diodorus,0.002915452,DiodorusSic_Book11-33
Diodorus,0.002915452,DiodorusSic_Book11-34
Diodorus,0.002915452,DiodorusSic_Book11-35
Diodorus,0.002915452,DiodorusSic_Book11-36
Diodorus,0.002915452,DiodorusSic_Book11-37
Diodorus,0.002915452,DiodorusSic_Book11-38
Diodorus,0.002915452,DiodorusSic_Book11-39
Diodorus,0.002915452,DiodorusSic_Book11-4
Diodorus,0.002915452,DiodorusSic_Book11-40
Diodorus,0.002915452,DiodorusSic_Book11-41
Diodorus,0.002915452,DiodorusSic_Book11-42
Diodorus,0.002915452,DiodorusSic_Book11-43
Diodorus,0.002915452,DiodorusSic_Book11-44
Diodorus,0.002915452,DiodorusSic_Book11-45
Diodorus,0.002915452,DiodorusSic_Book11-46
Diodorus,0.002915452,DiodorusSic_Book11-47
Diodorus,0.002915452,DiodorusSic_Book11-48
Diodorus,0.002915452,DiodorusSic_Book11-49
Diodorus,0.002915452,DiodorusSic_Book11-5
Diodorus,0.002915452,DiodorusSic_Book11-6
Diodorus,0.002915452,DiodorusSic_Book11-7
Diodorus,0.002915452,DiodorusSic_Book11-8
Diodorus,0.002915452,DiodorusSic_Book11-9
Herodotus,0.002267574,Herodotus_Book1-1
Herodotus,0.002267574,Herodotus_Book1-10
Herodotus,0.002267574,Herodotus_Book1-11
Herodotus,0.002267574,Herodotus_Book1-12
Herodotus,0.002267574,Herodotus_Book1-13
Herodotus,0.002267574,Herodotus_Book1-14
Herodotus,0.002267574,Herodotus_Book1-15
Herodotus,0.002267574,Herodotus_Book1-16
Herodotus,0.002267574,Herodotus_Book1-17
Herodotus,0.002267574,Herodotus_Book1-18
Herodotus,0.002267574,Herodotus_Book1-19
Herodotus,0.002267574,Herodotus_Book1-2
Herodotus,0.002267574,Herodotus_Book1-20
Herodotus,0.002267574,Herodotus_Book1-21
Herodotus,0.002267574,Herodotus_Book1-22
Herodotus,0.002267574,Herodotus_Book1-23
Herodotus,0.002267574,Herodotus_Book1-24
Herodotus,0.002267574,Herodotus_Book1-25
Herodotus,0.002267574,Herodotus_Book1-26
Herodotus,0.002267574,Herodotus_Book1-27
Herodotus,0.002267574,Herodotus_Book1-28
Herodotus,0.002267574,Herodotus_Book1-29
Herodotus,0.002267574,Herodotus_Book1-3
Herodotus,0.002267574,Herodotus_Book1-30
Herodotus,0.002267574,Herodotus_Book1-31
Herodotus,0.002267574,Herodotus_Book1-32
Herodotus,0.002267574,Herodotus_Book1-33
Herodotus,0.002267574,Herodotus_Book1-34
Herodotus,0.002267574,Herodotus_Book1-35
Herodotus,0.002267574,Herodotus_Book1-36
Herodotus,0.002267574,Herodotus_Book1-37
Herodotus,0.002267574,Herodotus_Book1-38
Herodotus,0.002267574,Herodotus_Book1-39
Herodotus,0.002267574,Herodotus_Book1-4
Herodotus,0.002267574,Herodotus_Book1-40
Herodotus,0.002267574,Herodotus_Book1-41
Herodotus,0.002267574,Herodotus_Book1-42
Herodotus,0.002267574,Herodotus_Book1-43
Herodotus,0.002267574,Herodotus_Book1-44
Herodotus,0.002267574,Herodotus_Book1-45
Herodotus,0.002267574,Herodotus_Book1-46
Herodotus,0.002267574,Herodotus_Book1-47
Herodotus,0.002267574,Herodotus_Book1-48
Herodotus,0.002267574,Herodotus_Book1-49
Herodotus,0.002267574,Herodotus_Book1-5
Herodotus,0.002267574,Herodotus_Book1-50
Herodotus,0.002267574,Herodotus_Book1-51
Herodotus,0.002267574,Herodotus_Book1-52
Herodotus,0.002267574,Herodotus_Book1-53
Herodotus,0.002267574,Herodotus_Book1-54
Herodotus,0.002267574,Herodotus_Book1-55
Herodotus,0.002267574,Herodotus_Book1-56
Herodotus,0.002267574,Herodotus_Book1-57
Herodotus,0.002267574,Herodotus_Book1-58
Herodotus,0.002267574,Herodotus_Book1-59
Herodotus,0.002267574,Herodotus_Book1-6
Herodotus,0.002267574,Herodotus_Book1-60
Herodotus,0.002267574,Herodotus_Book1-61
Herodotus,0.002267574,Herodotus_Book1-62
Herodotus,0.002267574,Herodotus_Book1-63
Herodotus,0.002267574,Herodotus_Book1-7
Herodotus,0.002267574,Herodotus_Book1-8
Herodotus,0.002267574,Herodotus_Book1-9
Lysias,0.004608295,Lysias_SelectedOrations-1
Lysias,0.004608295,Lysias_SelectedOrations-10
Lysias,0.004608295,Lysias_SelectedOrations-11
Lysias,0.004608295,Lysias_SelectedOrations-12
Lysias,0.004608295,Lysias_SelectedOrations-13
Lysias,0.004608295,Lysias_SelectedOrations-14
Lysias,0.004608295,Lysias_SelectedOrations-15
Lysias,0.004608295,Lysias_SelectedOrations-16
Lysias,0.004608295,Lysias_SelectedOrations-17
Lysias,0.004608295,Lysias_SelectedOrations-18
Lysias,0.004608295,Lysias_SelectedOrations-19
Lysias,0.004608295,Lysias_SelectedOrations-2
Lysias,0.004608295,Lysias_SelectedOrations-20
Lysias,0.004608295,Lysias_SelectedOrations-21
Lysias,0.004608295,Lysias_SelectedOrations-22
Lysias,0.004608295,Lysias_SelectedOrations-23
Lysias,0.004608295,Lysias_SelectedOrations-24
Lysias,0.004608295,Lysias_SelectedOrations-25
Lysias,0.004608295,Lysias_SelectedOrations-26
Lysias,0.004608295,Lysias_SelectedOrations-27
Lysias,0.004608295,Lysias_SelectedOrations-28
Lysias,0.004608295,Lysias_SelectedOrations-29
Lysias,0.004608295,Lysias_SelectedOrations-3
Lysias,0.004608295,Lysias_SelectedOrations-30
Lysias,0.004608295,Lysias_SelectedOrations-31
