author_rate,chunk_rate,chunk_ref,
0.2,0.008,DiodorusSic_Book11-1,25
0.2,0.008,DiodorusSic_Book11-10,
0.2,0.008,DiodorusSic_Book11-11,
0.2,0.008,DiodorusSic_Book11-12,
0.2,0.008,DiodorusSic_Book11-13,
0.2,0.008,DiodorusSic_Book11-14,
0.2,0.008,DiodorusSic_Book11-15,
0.2,0.008,DiodorusSic_Book11-16,
0.2,0.008,DiodorusSic_Book11-17,
0.2,0.008,DiodorusSic_Book11-18,
0.2,0.008,DiodorusSic_Book11-19,
0.2,0.008,DiodorusSic_Book11-2,
0.2,0.008,DiodorusSic_Book11-20,
0.2,0.008,DiodorusSic_Book11-21,
0.2,0.008,DiodorusSic_Book11-22,
0.2,0.008,DiodorusSic_Book11-23,
0.2,0.008,DiodorusSic_Book11-24,
0.2,0.008,DiodorusSic_Book11-25,
0.2,0.008,DiodorusSic_Book11-3,
0.2,0.008,DiodorusSic_Book11-4,
0.2,0.008,DiodorusSic_Book11-5,
0.2,0.008,DiodorusSic_Book11-6,
0.2,0.008,DiodorusSic_Book11-7,
0.2,0.008,DiodorusSic_Book11-8,
0.2,0.008,DiodorusSic_Book11-9,
0.2,0.00625,Herodotus_Book1-1,32
0.2,0.00625,Herodotus_Book1-10,
0.2,0.00625,Herodotus_Book1-11,
0.2,0.00625,Herodotus_Book1-12,
0.2,0.00625,Herodotus_Book1-13,
0.2,0.00625,Herodotus_Book1-14,
0.2,0.00625,Herodotus_Book1-15,
0.2,0.00625,Herodotus_Book1-16,
0.2,0.00625,Herodotus_Book1-17,
0.2,0.00625,Herodotus_Book1-18,
0.2,0.00625,Herodotus_Book1-19,
0.2,0.00625,Herodotus_Book1-2,
0.2,0.00625,Herodotus_Book1-20,
0.2,0.00625,Herodotus_Book1-21,
0.2,0.00625,Herodotus_Book1-22,
0.2,0.00625,Herodotus_Book1-23,
0.2,0.00625,Herodotus_Book1-24,
0.2,0.00625,Herodotus_Book1-25,
0.2,0.00625,Herodotus_Book1-26,
0.2,0.00625,Herodotus_Book1-27,
0.2,0.00625,Herodotus_Book1-28,
0.2,0.00625,Herodotus_Book1-29,
0.2,0.00625,Herodotus_Book1-3,
0.2,0.00625,Herodotus_Book1-30,
0.2,0.00625,Herodotus_Book1-31,
0.2,0.00625,Herodotus_Book1-32,
0.2,0.00625,Herodotus_Book1-4,
0.2,0.00625,Herodotus_Book1-5,
0.2,0.00625,Herodotus_Book1-6,
0.2,0.00625,Herodotus_Book1-7,
0.2,0.00625,Herodotus_Book1-8,
0.2,0.00625,Herodotus_Book1-9,
0.2,0.00952381,Plutarch_Alcibiades-1,21
0.2,0.00952381,Plutarch_Alcibiades-10,
0.2,0.00952381,Plutarch_Alcibiades-11,
0.2,0.00952381,Plutarch_Alcibiades-2,
0.2,0.00952381,Plutarch_Alcibiades-3,
0.2,0.00952381,Plutarch_Alcibiades-4,
0.2,0.00952381,Plutarch_Alcibiades-5,
0.2,0.00952381,Plutarch_Alcibiades-6,
0.2,0.00952381,Plutarch_Alcibiades-7,
0.2,0.00952381,Plutarch_Alcibiades-8,
0.2,0.00952381,Plutarch_Alcibiades-9,
0.2,0.00952381,Plutarch_Lycurgus-1,
0.2,0.00952381,Plutarch_Lycurgus-10,
0.2,0.00952381,Plutarch_Lycurgus-2,
0.2,0.00952381,Plutarch_Lycurgus-3,
0.2,0.00952381,Plutarch_Lycurgus-4,
0.2,0.00952381,Plutarch_Lycurgus-5,
0.2,0.00952381,Plutarch_Lycurgus-6,
0.2,0.00952381,Plutarch_Lycurgus-7,
0.2,0.00952381,Plutarch_Lycurgus-8,
0.2,0.00952381,Plutarch_Lycurgus-9,
0.2,0.007407407,Polybius_Book1-1,73
0.2,0.007407407,Polybius_Book1-10,
0.2,0.007407407,Polybius_Book1-11,
0.2,0.007407407,Polybius_Book1-12,
0.2,0.007407407,Polybius_Book1-13,
0.2,0.007407407,Polybius_Book1-14,
0.2,0.007407407,Polybius_Book1-15,
0.2,0.007407407,Polybius_Book1-16,
0.2,0.007407407,Polybius_Book1-17,
0.2,0.007407407,Polybius_Book1-18,
0.2,0.007407407,Polybius_Book1-19,
0.2,0.007407407,Polybius_Book1-2,
0.2,0.007407407,Polybius_Book1-20,
0.2,0.007407407,Polybius_Book1-21,
0.2,0.007407407,Polybius_Book1-22,
0.2,0.007407407,Polybius_Book1-23,
0.2,0.007407407,Polybius_Book1-24,
0.2,0.007407407,Polybius_Book1-25,
0.2,0.007407407,Polybius_Book1-26,
0.2,0.007407407,Polybius_Book1-27,
0.2,0.007407407,Polybius_Book1-3,
0.2,0.007407407,Polybius_Book1-4,
0.2,0.007407407,Polybius_Book1-5,
0.2,0.007407407,Polybius_Book1-6,
0.2,0.007407407,Polybius_Book1-7,
0.2,0.007407407,Polybius_Book1-8,
0.2,0.007407407,Polybius_Book1-9,
0.2,0.008333333,Thucydides_Book1-1,24
0.2,0.008333333,Thucydides_Book1-10,
